#,Company,Email,Person,Title,Region,Notes
,EngineerBabu,aanchal@engineerbabu.com,Aanchal,Business Contact,Other,Indore software/product dev; VERIFIED rendered on engineerbabu.com footer (WebFetch-confirmed); MX OK
,Tarka Labs,hello@tarkalabs.com,Contact Desk,General,Other,Chennai software/product dev; VERIFIED printed on tarkalabs.com/contact; MX OK
,QualMinds Technologies,hr@qualminds.com,HR Desk,Recruitment,Other,Hyderabad software/product dev; VERIFIED printed on qualminds.com/contact; MX OK
,QualMinds Technologies,info@qualminds.com,Corporate Office,General,Other,Hyderabad software/product dev; VERIFIED printed on qualminds.com; MX OK
,SolGuruz,hello@solguruz.com,Contact Desk,General,Gandhinagar/Ahmedabad,Ahmedabad software/app dev; VERIFIED printed on solguruz.com; MX OK
,HK Infosoft,career@hkinfosoft.com,Careers Desk,Recruitment,Gandhinagar/Ahmedabad,Ahmedabad software/web dev; VERIFIED printed on hkinfosoft.com; MX OK
,HK Infosoft,hello@hkinfosoft.com,Contact Desk,General,Gandhinagar/Ahmedabad,Ahmedabad software/web dev; VERIFIED printed on hkinfosoft.com; MX OK
,Rlogical Techsoft,contact@rlogical.com,Contact Desk,General,Gandhinagar/Ahmedabad,Ahmedabad software/web dev; VERIFIED printed on rlogical.com; MX OK
,Spaculus Software,hr@spaculus.com,HR Desk,Recruitment,Gandhinagar/Ahmedabad,Ahmedabad software/app dev; VERIFIED printed on spaculus.com; MX OK
,Spaculus Software,info@spaculus.com,Corporate Office,General,Gandhinagar/Ahmedabad,Ahmedabad software/app dev; VERIFIED printed on spaculus.com; MX OK
,Narola Infotech,career@narola.email,Careers Desk,Recruitment,Other,Surat software/web dev; VERIFIED printed on narolainfotech.com/careers; MX OK
,Saptang Labs,sales@saptanglabs.com,Sales Desk,Sales,Other,IIT Kanpur SIIC incubated portfolio; cybersecurity; VERIFIED printed on saptanglabs.com; MX OK
,Saptang Labs,support@saptanglabs.com,Support Desk,Support,Other,IIT Kanpur SIIC incubated portfolio; cybersecurity; VERIFIED printed on saptanglabs.com; MX OK
,xIoTz,sales@xiotz.com,Sales Desk,Sales,Other,IIT Kanpur SIIC incubated portfolio; cyber assurance platform; VERIFIED printed on xiotz.com; MX OK
,Kritsnam Technologies,vinay@kritsnam.com,Vinay,Named contact,Other,IIT Kanpur SIIC incubated portfolio; water-monitoring IoT; VERIFIED printed on kritsnam.com; MX OK
,Kritsnam Technologies,dwas@kritsnam.com,Dwas Desk,General,Other,IIT Kanpur SIIC incubated portfolio; water-monitoring IoT (Dwas product line); VERIFIED printed on kritsnam.com; MX OK
,Prescience Decision Solutions,support@prescience.in,Support Desk,Support,Other,IIT Kanpur SIIC incubated portfolio; data/AI analytics; VERIFIED printed on prescience.in; MX OK
,Incredible Devices,contactus@incredibledevices.in,Contact Desk,General,Other,IIT Kanpur SIIC incubated portfolio; medical devices; VERIFIED printed on incredibledevices.in; MX OK
,Incredible Devices,ina@incredibledevices.in,INA Desk,General,Other,IIT Kanpur SIIC incubated portfolio; medical devices; VERIFIED printed on incredibledevices.in; MX OK
,Life and Limb,admin@lifeandlimb.ai,Admin Desk,General,Other,IIT Kanpur SIIC incubated portfolio; medtech/AI; VERIFIED printed on lifeandlimb.ai; MX OK
,Life and Limb,sales@lifeandlimb.ai,Sales Desk,Sales,Other,IIT Kanpur SIIC incubated portfolio; medtech/AI; VERIFIED printed on lifeandlimb.ai; MX OK
,Genomiki Solutions,operations@genomiki.com,Operations Desk,Operations,Other,IIT Kanpur SIIC incubated portfolio; genomics; VERIFIED printed on genomiki.com; MX OK
,Uneako,info@uneako.com,Corporate Office,General,Other,IIT Kanpur SIIC incubated portfolio; sustainable products; VERIFIED printed on uneako.com; MX OK
,Xpanso,info@xpanso.com,Corporate Office,General,Other,IIT Kanpur SIIC incubated portfolio; deep-tech; VERIFIED printed on xpanso.com; MX OK
,Xpanso,sales@xpanso.com,Sales Desk,Sales,Other,IIT Kanpur SIIC incubated portfolio; deep-tech; VERIFIED printed on xpanso.com; MX OK
,TerraCarb,info@terracarb.com,Corporate Office,General,Other,IIT Kanpur SIIC incubated portfolio; materials/carbon; VERIFIED printed on terracarb.com; MX OK
,TerraCarb,reimagine@terracarb.com,Reimagine Desk,General,Other,IIT Kanpur SIIC incubated portfolio; materials/carbon; VERIFIED printed on terracarb.com; MX OK
,Adiabatic Technologies,darshan@adiabatic.co.in,Darshan,Named contact,Other,IIT Kanpur SIIC incubated portfolio; thermal/energy tech; VERIFIED printed on adiabatic.co.in; MX OK
,Avris Tech,marketing@avristech.com,Marketing Desk,Marketing,Other,IIT Kanpur SIIC incubated portfolio; deep-tech; VERIFIED printed on avristech.com; MX OK
,Staram,communications@staram.in,Communications Desk,General,Other,IIT Kanpur SIIC incubated portfolio; deep-tech; VERIFIED printed on staram.in; MX OK
,Yantram Medtech,careers@yantrammedtech.com,Careers Desk,Recruitment,Other,IIT Kanpur SIIC incubated portfolio; medical devices; VERIFIED printed on yantrammedtech.com; MX OK
,Yantram Medtech,contact@yantrammedtech.com,Contact Desk,General,Other,IIT Kanpur SIIC incubated portfolio; medical devices; VERIFIED printed on yantrammedtech.com; MX OK
,Yantram Medtech,investor@yantrammedtech.com,Investor Desk,Investor Relations,Other,IIT Kanpur SIIC incubated portfolio; medical devices; VERIFIED printed on yantrammedtech.com; MX OK
,Cutebrains,braj@cutebrains.in,Braj,Named contact,Other,IIT Kanpur SIIC incubated portfolio; edtech; VERIFIED printed on cutebrains.in; MX OK
,Cutebrains,gyan@cutebrains.in,Gyan,Named contact,Other,IIT Kanpur SIIC incubated portfolio; edtech; VERIFIED printed on cutebrains.in; MX OK
,Cutebrains,manas@cutebrains.in,Manas,Named contact,Other,IIT Kanpur SIIC incubated portfolio; edtech; VERIFIED printed on cutebrains.in; MX OK
,Cutebrains,info@cutebrains.in,Corporate Office,General,Other,IIT Kanpur SIIC incubated portfolio; edtech; VERIFIED printed on cutebrains.in; MX OK
,Manodayam,sanjay@manodayam.com,Sanjay,Named contact,Other,IIT Kanpur SIIC incubated portfolio; mental health/wellness; VERIFIED printed on manodayam.com; MX OK
,Manodayam,enquiry@manodayam.com,Enquiry Desk,General,Other,IIT Kanpur SIIC incubated portfolio; mental health/wellness; VERIFIED printed on manodayam.com; MX OK
,Manodayam,info@manodayam.com,Corporate Office,General,Other,IIT Kanpur SIIC incubated portfolio; mental health/wellness; VERIFIED printed on manodayam.com; MX OK
,Tanprish Dynamics,swatiraj@tanprishdynamics.co.in,Swati Raj,Named contact,Other,IIT Kanpur SIIC incubated portfolio; deep-tech; VERIFIED printed on tanprishdynamics.co.in; MX OK
,Tanprish Dynamics,info@tanprishdynamics.co.in,Corporate Office,General,Other,IIT Kanpur SIIC incubated portfolio; deep-tech; VERIFIED printed on tanprishdynamics.co.in; MX OK
